site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
009937,09A,BUSSELTON JETTY,1997,..,-33.6294,115.3383,GPS,WA,3.0,..,95602,"Busselton, WA ",/places/wa/busselton/,-33.629,115.338,,,2025-03-24T20:08:07Z,18.8,3:50am,95611,8.1
009961,09A,HOPETOUN NORTH,1995,..,-33.9306,120.1283,GPS,WA,26.0,27.0,95635,"Hopetoun, WA ",/places/wa/hopetoun/,-33.931,120.128,,,2025-03-24T20:08:07Z,21.6,3:50am,95635,3.2
009964,09A,ROCKY GULLY,1995,..,-34.5714,117.0106,GPS,WA,250.0,250.5,94631,"Rocky Gully, WA ",/places/wa/3KC3/?location=Rocky Gully,-34.571,117.011,,,2025-03-24T20:08:07Z,18.8,3:50am,94631,2.9
009965,09A,BUNBURY,1995,..,-33.3567,115.6447,GPS,WA,5.2,6.2,94604,"Bunbury, WA ",/places/wa/bunbury/,-33.357,115.645,,,2025-03-24T20:08:07Z,20.2,3:50am,94604,2.2
009968,09A,SHANNON,1996,..,-34.5683,116.3367,GPS,WA,210.0,..,95617,"Shannon, WA ",/places/wa/3HY9/?location=Shannon,-34.568,116.337,,,2025-03-24T20:08:07Z,18.8,3:50am,95617,NA
009977,09A,MANDURAH,2001,..,-32.5219,115.7119,GPS,WA,3.0,3.5,94605,"Meadow Springs, WA ",/places/wa/meadow-springs/,-32.522,115.712,,,2025-03-24T20:08:07Z,NA,3:50am,94605,3.7
009983,09A,STYLES TOWER,2002,..,-33.9123,115.8999,GPS,WA,376.0,..,99694,"Nannup, WA ",/places/wa/3JHY/?location=Nannup,-33.912,115.900,,,2025-03-24T20:08:07Z,17.1,3:50am,95632,20.2
009994,09A,COLLIE EAST,2002,..,-33.3608,116.1717,GPS,WA,200.0,..,95621,"Collie, WA ",/places/wa/collie/,-33.361,116.172,,,2025-03-24T20:08:07Z,17.4,3:50am,95621,1.7
009998,09A,NORTH WALPOLE,2004,..,-34.9469,116.7222,GPS,WA,73.0,73.5,95647,"North Walpole, WA ",/places/wa/3K81/?location=North Walpole,-34.947,116.722,,,2025-03-24T20:08:07Z,19.7,3:50am,95647,2.5
009999,09A,ALBANY AIRPORT,2012,..,-34.9411,117.8158,SURVEY,WA,68.4,70.0,94802,"Willyung, WA ",/places/wa/3KSC/?location=Willyung,-34.941,117.816,,,2025-03-24T20:08:07Z,19.8,3:50am,94802,1.5
010007,10,BENCUBBIN,1912,..,-30.8081,117.8603,GPS,WA,359.0,353.5,94632,"Bencubbin, WA ",/places/wa/bencubbin/,-30.808,117.860,,,2025-03-24T20:08:07Z,NA,NA,NA,NA
010058,10,GOOMALLING,1887,..,-31.2994,116.8269,GPS,WA,239.0,..,95631,"Goomalling, WA ",/places/wa/goomalling/,-31.299,116.827,,,2025-03-24T20:08:07Z,21.2,3:50am,95625,52.7
010073,10,KELLERBERRIN,1892,..,-31.6183,117.7217,GPS,WA,250.0,..,95603,"Kellerberrin, WA ",/places/wa/kellerberrin/,-31.618,117.722,,,2025-03-24T20:08:07Z,21.2,3:50am,95625,46.2
